,Label,plus_test,minus_test
619,1734h1,False,False
620,1734h2,False,False
621,1737a1,False,False
622,1737a2,False,False
623,1746e1,True,False
624,1746e2,True,False
625,1747a1,False,False
626,1752i1,False,False
627,1752i2,False,False
628,1764b1,True,False
629,1764b2,True,False
630,1764b3,True,False
631,1764b4,True,False
632,1764c1,False,True
633,1764c2,False,True
634,1768c1,False,False
635,1768c2,False,False
636,1773a1,True,False
637,1773b1,False,False
638,1776c1,False,False
639,1776c2,False,False
640,1776g1,False,False
641,1776g2,False,False
642,1776h1,False,False
643,1776h2,False,False
644,1776i1,False,False
645,1794e1,False,False
646,1794e2,False,False
647,1806c1,False,False
648,1806c2,False,False
649,1806j1,False,False
650,1806j2,False,False
651,1813c1,False,False
652,1813c2,False,False
653,1813c3,False,False
654,1818e1,False,False
655,1818k1,False,False
656,1824a1,True,False
657,1824a2,True,False
658,1826b1,False,False
659,1827c1,False,False
660,1827c2,False,False
661,1848h1,False,True
662,1848h2,False,True
663,1849a1,False,False
664,1849a2,False,False
665,1864a1,False,False
666,1881a1,True,True
667,1881a2,True,True
668,1882a1,False,False
669,1884a1,False,False
670,1884a2,False,False
671,1892b1,False,True
672,1892c1,False,True
673,1892c2,False,True
674,1904e1,False,False
675,1904e2,False,False
676,1906a1,False,False
677,1906a2,False,False
678,1914d1,False,False
679,1914d2,False,False
680,1914m1,True,False
681,1914m2,True,False
682,1914m3,True,False
683,1914m4,True,False
684,1926d1,False,False
685,1926d2,False,False
686,1962a1,True,False
687,1962a2,True,False
688,1963a1,False,False
689,1968a1,False,False
690,1973a1,True,False
691,1974b1,False,False
692,1974b2,False,False
693,1974c1,False,False
694,1974c2,False,False
695,1974c3,False,False
696,1974c4,False,False
697,1976b1,False,False
698,1977a1,False,True
699,1978c1,False,False
700,1986a1,False,True
701,1987a1,False,False
702,2001c1,False,False
703,2006a1,False,False
704,2006a2,False,False
705,2006i1,False,False
706,2006i2,False,False
707,2016a1,True,True
708,2016a2,True,True
709,2016f1,False,False
710,2016f2,False,False
711,2016j1,False,False
712,2016j2,False,False
713,2016k1,False,True
714,2016k2,False,True
715,2016l1,False,True
716,2016l2,False,True
717,2017a1,False,False
718,2019a1,False,False
719,2019a2,False,False
720,2022h1,True,False
721,2022h2,True,False
722,2024a1,False,False
723,2028d1,False,True
724,2028d2,False,True
725,2028d3,False,True
726,2028d4,False,True
727,2031a1,False,False
728,2031b1,True,False
729,2032e1,False,True
730,2032e2,False,True
731,2043d1,False,False
732,2046b1,False,False
733,2046b2,False,False
734,2056a1,False,False
735,2056e1,False,False
736,2056e2,False,False
737,2057a1,False,True
738,2062a1,False,False
739,2067b1,False,False
740,2067b2,False,False
741,2068d1,False,False
742,2068d2,False,False
743,2072a1,False,True
744,2072a2,False,True
