Conductor,Rank,mu_5,lam_5,lam_5_MW
1096b1,1,0.0,1.0,1.0
1104f1,1,0.0,1.0,1.0
1104f1,1,0.0,1.0,1.0
1104g1,1,0.0,1.0,1.0
1104g1,1,0.0,1.0,1.0
1128f1,1,0.0,1.0,1.0
1128f1,1,0.0,1.0,1.0
1132c1,1,0.0,1.0,1.0
1132c1,1,0.0,1.0,1.0
1136f1,1,0.0,1.0,1.0
1136f1,1,0.0,1.0,1.0
1152q1,1,0.0,1.0,1.0
1152q1,1,0.0,1.0,1.0
1152r1,1,0.0,1.0,1.0
1152r1,1,0.0,1.0,1.0
1154a1,1,0.0,1.0,1.0
1154a1,1,0.0,1.0,1.0
1158c1,1,0.0,1.0,1.0
1158c1,1,0.0,1.0,1.0
1158e1,1,0.0,1.0,1.0
1158e1,1,0.0,1.0,1.0
1173e1,1,0.0,1.0,1.0
1173e1,1,0.0,1.0,1.0
1173f1,1,0.0,1.0,1.0
1173f1,1,0.0,1.0,1.0
1184b1,1,0.0,1.0,1.0
1184b1,1,0.0,1.0,1.0
1186a1,1,0.0,1.0,1.0
1186a1,1,0.0,1.0,1.0
1188d1,1,0.0,1.0,1.0
1188d1,1,0.0,1.0,1.0
1208a1,1,0.0,1.0,1.0
1208a1,1,0.0,1.0,1.0
1209b1,1,0.0,1.0,1.0
1209b1,1,0.0,1.0,1.0
1216b1,1,0.0,1.0,1.0
1216b1,1,0.0,1.0,1.0
1216r1,1,0.0,1.0,1.0
1216r1,1,0.0,1.0,1.0
1218c1,1,0.0,1.0,1.0
1218c1,1,0.0,1.0,1.0
1218f1,1,0.0,1.0,1.0
1218f1,1,0.0,1.0,1.0
1221b1,1,0.0,1.0,1.0
1221b1,1,0.0,1.0,1.0
1232e1,1,0.0,1.0,1.0
1232e1,1,0.0,1.0,1.0
1234a1,1,0.0,1.0,1.0
1234a1,1,0.0,1.0,1.0
1238a1,1,0.0,1.0,1.0
1238a1,1,0.0,1.0,1.0
1246h1,1,0.0,1.0,1.0
1246h1,1,0.0,1.0,1.0
1248d1,1,0.0,1.0,1.0
1248d1,1,0.0,1.0,1.0
1256a1,1,0.0,1.0,1.0
1256a1,1,0.0,1.0,1.0
1267a1,1,0.0,1.0,1.0
1267a1,1,0.0,1.0,1.0
1269e1,1,0.0,1.0,1.0
1269e1,1,0.0,1.0,1.0
1269f1,1,0.0,1.0,1.0
1269f1,1,0.0,1.0,1.0
1274a1,1,0.0,1.0,1.0
1274a1,1,0.0,1.0,1.0
1274e1,1,0.0,1.0,1.0
1274e1,1,0.0,1.0,1.0
1274g1,1,0.0,1.0,1.0
1274g1,1,0.0,1.0,1.0
1281a1,1,0.0,1.0,1.0
1281a1,1,0.0,1.0,1.0
1282a1,1,0.0,1.0,1.0
1282a1,1,0.0,1.0,1.0
1286a1,1,0.0,1.0,1.0
1286a1,1,0.0,1.0,1.0
1288e1,1,0.0,1.0,1.0
1288e1,1,0.0,1.0,1.0
1296k1,1,0.0,1.0,1.0
1296k1,1,0.0,1.0,1.0
1314a1,1,0.0,1.0,1.0
1314a1,1,0.0,1.0,1.0
1314d1,1,0.0,1.0,1.0
1314d1,1,0.0,1.0,1.0
1323a1,1,0.0,1.0,1.0
1323a1,1,0.0,1.0,1.0
1323m1,1,0.0,1.0,1.0
1323m1,1,0.0,1.0,1.0
1326a1,1,0.0,1.0,1.0
1326a1,1,0.0,1.0,1.0
1326c1,1,0.0,1.0,1.0
1326c1,1,0.0,1.0,1.0
1326d1,1,0.0,1.0,1.0
1326d1,1,0.0,1.0,1.0
1328a1,1,0.0,1.0,1.0
1328a1,1,0.0,1.0,1.0
1332c1,1,0.0,1.0,1.0
1332c1,1,0.0,1.0,1.0
1342b1,1,0.0,1.0,1.0
1342b1,1,0.0,1.0,1.0
1344p1,1,0.0,1.0,1.0
1344p1,1,0.0,1.0,1.0
1346a1,1,0.0,1.0,1.0
1346a1,1,0.0,1.0,1.0
1358b1,1,0.0,1.0,1.0
1358b1,1,0.0,1.0,1.0
1394a1,1,0.0,1.0,1.0
1394a1,1,0.0,1.0,1.0
1398a1,1,0.0,1.0,1.0
1398a1,1,0.0,1.0,1.0
1407f1,1,0.0,1.0,1.0
1407f1,1,0.0,1.0,1.0
1411b1,1,0.0,1.0,1.0
1411b1,1,0.0,1.0,1.0
1456a1,1,0.0,1.0,1.0
1456a1,1,0.0,1.0,1.0
1468a1,1,0.0,1.0,1.0
1468a1,1,0.0,1.0,1.0
1472b1,1,0.0,1.0,1.0
1472b1,1,0.0,1.0,1.0
1472m1,1,0.0,1.0,1.0
1472m1,1,0.0,1.0,1.0
1478a1,1,0.0,1.0,1.0
1478a1,1,0.0,1.0,1.0
1478c1,1,0.0,1.0,1.0
1478c1,1,0.0,1.0,1.0
1478d1,1,0.0,1.0,1.0
1478d1,1,0.0,1.0,1.0
1484c1,1,0.0,1.0,1.0
1484c1,1,0.0,1.0,1.0
1521a1,1,0.0,1.0,1.0
1521a1,1,0.0,1.0,1.0
1521b1,1,0.0,1.0,1.0
1521b1,1,0.0,1.0,1.0
1542b1,1,0.0,1.0,1.0
1542b1,1,0.0,1.0,1.0
1547a1,1,0.0,1.0,1.0
1547a1,1,0.0,1.0,1.0
1562c1,1,0.0,1.0,1.0
1562c1,1,0.0,1.0,1.0
1566j1,1,0.0,1.0,1.0
1566j1,1,0.0,1.0,1.0
1578b1,1,0.0,1.0,1.0
1578b1,1,0.0,1.0,1.0
1584a1,1,0.0,1.0,1.0
1584a1,1,0.0,1.0,1.0
1584f1,1,0.0,1.0,1.0
1584f1,1,0.0,1.0,1.0
1587c1,1,0.0,1.0,1.0
1587c1,1,0.0,1.0,1.0
1587d1,1,0.0,1.0,1.0
1587d1,1,0.0,1.0,1.0
1587e1,1,0.0,1.0,1.0
1587e1,1,0.0,1.0,1.0
1588a1,1,0.0,1.0,1.0
1588a1,1,0.0,1.0,1.0
1611a1,1,0.0,1.0,1.0
1611a1,1,0.0,1.0,1.0
1617c1,1,0.0,1.0,1.0
1617c1,1,0.0,1.0,1.0
1617e1,1,0.0,1.0,1.0
1617e1,1,0.0,1.0,1.0
1617i1,1,0.0,1.0,1.0
1617i1,1,0.0,1.0,1.0
1626a1,1,0.0,1.0,1.0
1626a1,1,0.0,1.0,1.0
1638c1,1,0.0,1.0,1.0
1638c1,1,0.0,1.0,1.0
1641a1,1,0.0,1.0,1.0
1641a1,1,0.0,1.0,1.0
1656d1,1,0.0,1.0,1.0
1656d1,1,0.0,1.0,1.0
1656e1,1,0.0,1.0,1.0
1656e1,1,0.0,1.0,1.0
1662b1,1,0.0,1.0,1.0
1662b1,1,0.0,1.0,1.0
1674f1,1,0.0,1.0,1.0
1674f1,1,0.0,1.0,1.0
1674g1,1,0.0,1.0,1.0
1674g1,1,0.0,1.0,1.0
1712a1,1,0.0,1.0,1.0
1712a1,1,0.0,1.0,1.0
1712g1,1,0.0,1.0,1.0
1712g1,1,0.0,1.0,1.0
1716a1,1,0.0,1.0,1.0
1716a1,1,0.0,1.0,1.0
1728a1,1,0.0,1.0,1.0
1728a1,1,0.0,1.0,1.0
1728v1,1,0.0,1.0,1.0
1728v1,1,0.0,1.0,1.0
